Id;Identificador;Huella;Cantidad;Identificación;Suministrador y ref;
1;R8,R9;R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal;2;100k;;SI
2;D1,D2;D_DO-41_SOD81_P10.16mm_Horizontal;2;1N5819;;FALTA
3;C4,C1;CP_Radial_D6.3mm_P2.50mm;2;100uF;;SI
4;C2,C3;C_Disc_D3.0mm_W1.6mm_P2.50mm;2;100nF;;SI
5;R6,R4,R5,R11,R1,R7,R3,R2,R0;R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal;9;10k;;FALTA
6;RV1,RV2;Potentiometer_Bourns_3296W_Vertical;2;R_Potentiometer;;FALTA
7;PLANTA1;TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal;1;Screw_Terminal_01x03;;SI
8;J2;JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical;1;Conn_01x05;;SI
9;U4;XY-017;1;~;;SI
10;U3;DIP-8_W7.62mm_LongPads;1;LM358;;FALTA
11;U2;DIP-4_W7.62mm_Socket_LongPads;1;PC817;;SI
12;J1;PinSocket_1x02_P2.54mm_Vertical;1;Conn_01x02_Pin;;SI
13;U1;DIP-16_W7.62mm;1;74HC165;;FALTA
14;R10;R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal;1;1.2k;;SI
15;JST_5V1;JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical;1;Conn_01x02;;SI
16;SW1;SW_DS01C-254-S-08BE;1;SW_DIP_x08;;FALTA
17;ESP32;ttgo_lora32;1;~;;SI
